parent_opeid,opeid,state,school_name,loc_name,school_addr,school_lat,school_lon,geometry,index_right,Head Start Address,Head_Start_Lat,Head_Start_Lon,distance_meters,distance_mi
2143700,2143700,SD,SINTE GLESKA UNIVERSITY,SINTE GLESKA UNIVERSITY,"Antelope Drive, Mission, SD 575550105",43.305722,-100.6529709,POINT (-354524.65526322916 376227.7747274118),13442,"814 Omaha St, Mission, SD 57555",43.2990627,-100.6567154,792.9935801411718,0.4927433663288718
2143700,2143700,SD,SINTE GLESKA UNIVERSITY,SINTE GLESKA UNIVERSITY,"Antelope Drive, Mission, SD 575550105",43.305722,-100.6529709,POINT (-354524.65526322916 376227.7747274118),13395,"814 Omaha Street, Mission, SD 57555",43.2990627,-100.6567154,792.9935801411718,0.4927433663288718
2143700,2143700,SD,SINTE GLESKA UNIVERSITY,SINTE GLESKA UNIVERSITY,"Antelope Drive, Mission, SD 575550105",43.305722,-100.6529709,POINT (-354524.65526322916 376227.7747274118),13396,"810 Omaha Street, Mission, SD 57555",43.2990627,-100.6567154,792.9935801411718,0.4927433663288718
2143700,2143702,SD,SINTE GLESKA UNIVERSITY,SINTE GLESKA UNIVWERSITY - IHANKOTONWAN COMMUNITY COLLEGE,"200 South Main, Marty, SD 57570",42.9943963,-98.4247623,POINT (-185731.2645173366 335045.16706157103),13402,"240 Pickstown Ave, Lake Andes, SD 57356-2014",43.0672168,-98.5320265,11527.78534709517,7.163033724980594
2143700,2143701,SD,SINTE GLESKA UNIVERSITY,SINTE GLESKA UNIVERSITY - LOWER BRULE COMMUNITY COLLEGE,"Lower Brule Drive, Lower Brule, SD 57548",44.0735355,-99.5827138,POINT (-269666.46345243434 457777.1902451367),13420,"Memorial Building
301 Bullhead Street, Lower Brule, SD 57548",44.0716158,-99.5845202,252.9734685451742,0.1571904257543286
2145800,2145800,NY,CAYUGA-ONONDAGA BOCES,CAYUGA-ONONDAGA BOCES - MAIN CAMPUS,"1879 West Genesee Street Road, Auburn, NY 130219430",42.917608,-76.61584,POINT (1475540.928954667 481910.32622649905),9766,"1 Brookfield Place, Auburn, NY 13021-2209",42.9317241,-76.587878,2656.6648407840157,1.6507749994929708
2145800,2145802,NY,CAYUGA-ONONDAGA BOCES,CAYUGA-ONONDAGA BOCES - CENTER FOR LEARNING,"12 Allen St., Auburn, NY 130218083",42.9418967,-76.5879682,POINT (1477058.5888221916 484999.9323353568),9769,"101 Pulaski St, Auburn, NY 13021-1797",42.9410489,-76.5817835,483.4520812045253,0.3004031960876763
2146000,,NY,WAYNE-FINGER LAKES BOCES,WAYNE-FINGER LAKES BOCES - FINGER LAKES TECHNICAL AND CAREER CENTER,"3501 County Road 20, Stanley, NY 14561",42.861459,-77.110879,POINT (1439695.4143124514 467874.8695217489),9771,"30 West St, Geneva, NY 14456-2521",42.8650005,-76.9967971,8766.55109340836,5.447282304720656
2146000,,NY,WAYNE-FINGER LAKES BOCES,WAYNE-FINGER LAKES BOCES - WAYNE TECHNICAL AND CAREER CENTER,"4440 Ridge Road, Williamson, NY 14589",43.2291603,-77.1690965,POINT (1426922.749359668 506931.03911504877),9930,"6395 Tuckahoe Rd, Williamson, NY 14589-9516",43.2312766,-77.2021611,2534.3778967820253,1.574789415303394
2146000,2146000,NY,WAYNE-FINGER LAKES BOCES,WAYNE-FINGER LAKES BOCES - REGIONAL SUPPORT CENTER,"121 Drumlin Court, Newark, NY 145131863",43.0391577,-77.0819966,POINT (1437787.4641619453 487647.6801602826),9688,"301 Stuart Ave, Newark, NY 14513-9725",43.0519174,-77.1025352,2116.815795049206,1.315328354316545
2146600,2146600,AZ,SOUTH MOUNTAIN COMMUNITY COLLEGE,SOUTH MOUNTAIN COMMUNITY COLLEGE,"7050 South 24th Street, Phoenix, AZ 85042",33.3815726,-112.0339904,POINT (-1409134.3733113408 -609901.3217541181),607,"2041 E Vineyard Rd, Phoenix, AZ 85042-5801",33.38546,-112.036532,486.1137000752973,0.30205704937868927
2151500,2151500,PA,CENTRAL SUSQUEHANNA LPN CAREER CENTER,CENTRAL SUSQUEHANNA LPN CAREER CENTER,"1339 Saint Mary Street Suite 2, Lewisburg, PA 178378818",40.9629378,-76.8985903,POINT (1499610.1399937393 265018.0824035976),12507,"205 Hospital Dr, Lewisburg, PA 17837-9306",40.9826337,-76.8913272,2261.445209313931,1.4051969058908047
2153600,,NY,BROOME-DELAWARE-TIOGA BOCES,BROOME-DELAWARE-TIOGA BOCES - EAST LEARNING CENTER,"164 Hawley St, Binghamton, NY 13902",42.0987172,-75.9033625,POINT (1548846.349625497 404928.40866791416),9656,"35 Felters Rd
Bldg 16, Binghamton, NY 13903-2600",42.0974302,-75.8751584,2196.1638400726106,1.3646329436544395
2153600,2153600,NY,BROOME-DELAWARE-TIOGA BOCES,BROOME-DELAWARE-TIOGA BOCES - MAIN CAMPUS,"435 Glenwood Road, Binghamton, NY 139051699",42.1294593,-75.9337504,POINT (1545795.0878510359 407743.07195110054),9655,"287 Prospect St, Binghamton, NY 13905-2041",42.1144743,-75.9370022,1683.5212205176285,1.0460915879498904
2153600,,NY,BROOME-DELAWARE-TIOGA BOCES,BROOME-DELAWARE-TIOGA BOCES - WEST LEARNING CENTER,"471 Pennsylvania Ave., Apalachin, NY 13732",42.0648792,-76.157765,POINT (1530367.5066605762 396952.6422005749),10100,"1277 Taylor Rd, Owego, NY 13827-1200",42.1073037,-76.2284259,7236.17497520351,4.496350671580165
2153600,,NY,BROOME-DELAWARE-TIOGA BOCES,BROOME-DELAWARE-TIOGA BOCES - JOHNSON CITY LEARNING CENTER,"502 Main St, Johnson City, NY 13790",42.115416,-75.9661579,POINT (1543680.0457580509 405670.4306571172),9654,"24 Cherry St, Johnson City, NY 13790-2615",42.1096901,-75.9558181,1024.545569490565,0.6366231020158306
2156200,2156203,CO,TECHNICAL COLLEGE OF THE ROCKIES,TECHNICAL COLLEGE OF THE ROCKIES - GWSD PATHWAYS CENTER,"600 North 8th Street, gunnison, CO 81230",38.5487096,-106.9400353,POINT (-895314.0841659427 -107199.94729812627),3021,"9104 W US Highway 50, Salida, CO 81201-9587",38.5190302,-106.0448684,73525.83451424558,45.68683545236169
2156200,2156200,CO,TECHNICAL COLLEGE OF THE ROCKIES,TECHNICAL COLLEGE OF THE ROCKIES - MAIN CAMPUS,"1765 US Highway 50 South, Delta, CO 81416",38.7032764,-108.0296031,POINT (-981721.6192504208 -78932.46735480468),2833,"822 Grand Ave, Delta, CO 81416-2031",38.7357175,-108.0670906,4730.604765708781,2.939461523272079
2156600,2156600,UT,DAVIS TECHNICAL COLLEGE,DAVIS TECHNICAL COLLEGE,"550 East 300 South, Kaysville, UT 84037",41.028895,-111.9246755,POINT (-1251749.4027969816 224142.94108318776),15066,"320 S 500 E, Kaysville, UT 84037-3307",41.029249,-111.9276099,235.149490846928,0.1461151194815577
2158200,2158200,NY,WASHINGTON-SARATOGA-WARREN-HAMILTON-ESSEX BOCES,WASHINGTON-SARATOGA-WARREN-HAMILTON-ESSEX BOCES - SOUTHERN ADIRONDACK EDUCATION CENTER,"1051 Dix Avenue, Hudson Falls, NY 128391053",43.32064,-73.5935351,POINT (1690327.6727686012 578131.5975219338),9716,"1219 Dix Ave, Hudson Falls, NY 12839-1279",43.3203845,-73.5770341,1257.8332247387073,0.7815813304916209
2158200,,NY,WASHINGTON-SARATOGA-WARREN-HAMILTON-ESSEX BOCES,WASHINGTON-SARATOGA-WARREN-HAMILTON-ESSEX BOCES - F. DONALD MYERS EDUCATION CENTER,"15 Henning Road, Saratoga Springs, NY 12866",43.0815221,-73.7540189,POINT (1684898.7754773044 549384.6519576595),9652,"310 Caroline St, Saratoga Springs, NY 12866-3621",43.08089,-73.7671833,1009.530975636424,0.6272934659317237
2158300,2158300,PA,MIFFLIN COUNTY ACADEMY OF SCIENCE AND TECHNOLOGY,MIFFLIN COUNTY ACADEMY OF SCIENCE AND TECHNOLOGY,"700 Pitt Street, Lewistown, PA 17044",40.6050686,-77.5534168,POINT (1456927.9859731882 215474.95042928815),12510,"10 Bollinger Rd, Lewistown, PA 17044-1711",40.6007657,-77.5588073,641.9442886203456,0.3988856879699713
2166100,2166100,LA,ELAINE P. NUNEZ COMMUNITY COLLEGE,ELAINE P. NUNEZ COMMUNITY COLLEGE,"3710 Paris Road, Chalmette, LA 70043",29.955098,-89.9582858,POINT (558565.2988417409 -1095829.4476033307),6636,"4004 Paris Rd, Chalmette, LA 70043-1362",29.9581747,-89.9566993,371.3014720662791,0.23071603837730098
2168100,2168100,OH,TRI COUNTY CAREER CENTER/ADULT CENTER,TRI COUNTY CAREER CENTER/ADULT CENTER,"15676 State Route 691, Nelsonville, OH 457649706",39.4329081,-82.2101037,POINT (1112108.4083586591 21525.205259244933),10959,"40 Saint Charles St, Nelsonville, OH 45764-1504",39.4578178,-82.2259421,3048.259668401243,1.8941007444034605
2169600,2169600,PA,CLEARFIELD COUNTY CAREER AND TECHNOLOGY CENTER,CLEARFIELD COUNTY CAREER AND TECHNOLOGY CENTER,"1620 River Road, Clearfield, PA 168309702",41.03079,-78.418622,POINT (1380384.3126783113 248328.78649993133),13085,"60 Industrial Park Rd, Clearfield, PA 16830-6016",41.0313719,-78.405507,1038.164092343339,0.6450852597973702
2170200,2170200,NY,ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES,ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES,"1015 Watervliet Shaker Road, Albany, NY 122052111",42.7454185,-73.8372726,POINT (1687729.4345660429 511610.2933168401),9626,"100 Bigelow Ave, Schenectady, NY 12304-2826",42.7948946,-73.9243597,8662.308835895425,5.382509168888332
2170700,,NC,BRUNSWICK COMMUNITY COLLEGE,BRUNSWICK COMMUNITY COLLEGE - SOUTHPORT CENTER,"704 N Lord Street, Southport, NC 28461",33.9250764,-78.0222769,POINT (1566007.3701821803 -518865.8870772379),10703,"71 N Piney Grove Rd NE, Bolivia, NC 28422-8907",34.050541,-78.1768835,19419.349491187666,12.066624345812745
2170700,2170700,NC,BRUNSWICK COMMUNITY COLLEGE,BRUNSWICK COMMUNITY COLLEGE - MAIN CAMPUS,"50 College Road Northeast, Bolivia, NC 28422",34.038474,-78.2290128,POINT (1545787.605802873 -510067.27910136915),10703,"71 N Piney Grove Rd NE, Bolivia, NC 28422-8907",34.050541,-78.1768835,4755.269453514272,2.9547874497399387
2170700,2170701,NC,BRUNSWICK COMMUNITY COLLEGE,BRUNSWICK COMMUNITY COLLEGE - LELAND CENTER,"2045 Enterprise Boulevard, Leland, NC 28451",34.259842,-78.071265,POINT (1554521.291967726 -483294.3693618251),10697,"1100 McRae St, Wilmington, NC 28401-3128",34.2481384,-77.9379012,11711.764901639557,7.277353320135134
2172800,2172800,NY,DUTCHESS BOCES,DUTCHESS BOCES,"5 BOCES Road, Poughkeepsie, NY 126016599",41.7437927,-73.866544,POINT (1712359.3893849992 403088.34180112),10120,"269 Mill St, Poughkeepsie, NY 12601-3111",41.7057313,-73.9270182,6341.207386522913,3.940243593987931
2173900,2173900,NY,ULSTER COUNTY BOCES,ULSTER COUNTY BOCES,"Route 9W, Port Ewen, NY 12466",41.9095198,-73.9776672,POINT (1699516.9598581763 418870.96353121445),9956,"103 Broadway, Kingston, NY 12401-6019",41.9203764,-73.9863546,1382.8885717522553,0.8592871205610828
2177500,2177507,AZ,RIO SALADO COMMUNITY COLLEGE,RIO SALADO COMMUNITY COLLEGE - THOMAS,"3631 West Thomas Road, Phoenix, AZ 85019",33.4800016,-112.138271,POINT (-1416275.5312671973 -597534.6151084327),564,"3801 W Roanoke Ave, Phoenix, AZ 85009-1304",33.4765406,-112.1410887,457.3308628258876,0.2841722234810504
2177500,2177506,AZ,RIO SALADO COMMUNITY COLLEGE,RIO SALADO COMMUNITY COLLEGE - SOUTHERN,"3320 South Price Road, Tempe, AZ 85282",33.3916386,-111.8940276,POINT (-1396765.787098085 -610961.5077494446),566,"1133 S Dobson Rd
Ste 101, Mesa, AZ 85202-3942",33.3946914,-111.8736155,1834.4602579168738,1.139880757573815
2177500,2177512,AZ,RIO SALADO COMMUNITY COLLEGE,RIO SALADO COMMUNITY COLLEGE - NORTHERN,"1715 West Northern Avenue, Phoenix, AZ 85021",33.5525981,-112.0970996,POINT (-1411282.2744062836 -590248.94955904),635,"2021 W Alice Ave, Phoenix, AZ 85021-4299",33.5626407,-112.1022426,1202.5511302549344,0.747230629532862
2177500,2177500,AZ,RIO SALADO COMMUNITY COLLEGE,RIO SALADO COMMUNITY COLLEGE - MAIN CAMPUS,"2323 West 14th Street, Tempe, AZ 85281",33.4130438,-111.9746991,POINT (-1403367.3611458212 -607381.6722390249),393,"2747 W Southern Ave
Ste 4, Tempe, AZ 85282-4240",33.3921896,-111.9773142,2324.4741439674385,1.4443612701619035
2177500,2177513,AZ,RIO SALADO COMMUNITY COLLEGE,RIO SALADO COMMUNITY COLLEGE - DOWNTOWN,"619 North 7th Avenue, Phoenix, AZ 85007",33.4553886,-112.0818208,POINT (-1411853.6618992153 -601099.6400113797),693,"330 N 16th Ave, Phoenix, AZ 85007-2443",33.4528698,-112.0952832,1220.4982185732774,0.7583824331984196
2179400,2179400,NY,EASTERN SUFFOLK BOCES,EASTERN SUFFOLK BOCES - ADULT EDUCATION CENTER,"100 Second Avenue, Brentwood, NY 117170000",40.7718407,-73.2393141,POINT (1786619.814443118 310484.03680095554),9665,"177 Wicks Rd, Brentwood, NY 11717-1101",40.7877908,-73.2632211,2594.7135988558257,1.6122802824354678
