parent_opeid,opeid,state,school_name,loc_name,addr_verif,lat,lon
760200,760207,SC,NORTHEASTERN TECHNICAL COLLEGE,NORTHEASTERN TECHNICAL COLLEGE - PAGELAND CAMPUS,"815 South Pearl Street, Pageland, SC 29728",34.7610718,-80.3900902
763500,763500,CT,CAPITAL COMMUNITY COLLEGE,CAPITAL COMMUNITY COLLEGE,"950 Main, Hartford, CT 06103",41.7681484,-72.672398
764000,764004,NC,FAYETTEVILLE TECHNICAL COMMUNITY COLLEGE,FAYETTEVILLE TECHNICAL COMMUNITY COLLEGE - SPRING LAKE CAMPUS,"171 Laketree Boulevard, Spring Lake, NC 28390",35.1800048,-78.9863973
764000,764006,NC,FAYETTEVILLE TECHNICAL COMMUNITY COLLEGE,FAYETTEVILLE TECHNICAL COMMUNITY COLLEGE - COLLISION REPAIR & TECHNOL,"2821 Procurement Circle, Fayetteville, NC 28303",35.1049976,-78.9670391
764000,764000,NC,FAYETTEVILLE TECHNICAL COMMUNITY COLLEGE,FAYETTEVILLE TECHNICAL COMMUNITY COLLEGE - MAIN CAMPUS,"2201 Hull Road, Fayetteville, NC 28303",35.0679677,-78.9252883
764000,,NC,FAYETTEVILLE TECHNICAL COMMUNITY COLLEGE,FAYETTEVILLE TECHNICAL COMMUNITY COLLEGE - EDUCATION CENTER,"225 B Street, Fayetteville, NC 28301",35.0530028,-78.869448
764000,764005,NC,FAYETTEVILLE TECHNICAL COMMUNITY COLLEGE,FAYETTEVILLE TECHNICAL COMMUNITY COLLEGE - HORTICULTURE EDUCATIONAL CE,"670 N. Eastern Boulevard, Fayetteville, NC 28301",35.0586498,-78.8579488
764400,764400,IL,LAKE LAND COLLEGE,LAKE LAND COLLEGE - MAIN CAMPUS,"5001 Lake Land Boulevard, Mattoon, IL 61938",39.4168843,-88.380659
764400,,IL,LAKE LAND COLLEGE,LAKE LAND COLLEGE - EASTERN REGION CENTER,"224 South Sixth Street, Marshall, IL 62441",39.3889047,-87.6954364
764400,764403,IL,LAKE LAND COLLEGE,LAKE LAND COLLEGE - KLUTHE CENTER FOR HIGHER EDUCATION & TECHNOLOGY,"1204 Network Centre Drive, Effingham, IL 62401",39.1433528,-88.527336
764400,,IL,LAKE LAND COLLEGE,LAKE LAND COLLEGE - WESTERN REGION CENTER,"600 East First St., Pana, IL 62557",39.3897521,-89.0735719
